headline,label
Unnao rape case: Appeal reaches Supreme Court against suspension of Sengar’s sentence,0
Railways announces fare hike from Dec. 26: What you need to know,0
Human-trafficking case: NIA charge sheet against three accused in Myanmar,0
Coal block allocation case petitioner lawyer M.L. Sharma passes away,0
"How JD(S) is quietly remaking its leadership team: As a veteran MLA is removed from core committee, ‘first family’ scions get key posts",0
"BJP picks Ujjwal Nikam for Mumbai North Central, drops two-term MP Poonam Mahajan",0
‘Why should I counter BJP on tukde-tukde? Lies need not be countered’: Kanhaiya Kumar,0
"Bihar govt formation: JD(U)-BJP equal share in ministries proposed, Chirag may be offered 2 berths",0
"In booster for BJP ahead of J&K polls, key Gujjar face quits Apni Party to join its fold",0
"Waqf Bill: More than 12 hours of debate, and a washroom break that got Congress all wet",0
Mekedatu dam project: a long-standing source of friction between Tamil Nadu and Karnataka,0
"India-U.S. interim trade deal: ‘Namaste Trump scored over Howdy Modi’, says Congress",0
"As PM Modi lands in Manipur today, what Kukis, Meteis have demanded",0
"‘Richest’ CM Chandrababu Naidu’s draws almost entirely on one asset, Mamata records sharpest decline",0
"Cong, RJD tension flares over Bihar rout as ex-CLP leader pitches for breaking ties",0
"Slave compounds in Myanmar, adjoining regions are hubs for execution of digital arrest frauds: CBI",0
"Chaos, confusion and cancellations",0
"Temple money belongs to deity, cannot be used to save cooperative banks: Supreme Court",0
Fall in voter numbers in UP’s high Muslim-density areas same as in rest of state,0
Sunil Jakhar ‘resignation’: How ex-Congress leader struggled to find feet in BJP,0
"Process on to impeach Justice Varma, govt awaiting probe panel report: Kiren Rijiju",0
Congress targets BJP over MP Ram Chander Jangra’s comments on Pahalgam victims: ‘Sack foul-mouthed leaders’,0
Rajya Sabha takes up resolution to extend water pollution law to Manipur,0
Academia margins to NCERT row spotlight: French-born scholar’s tryst with India’s past,0
ED places before court prosecution sanction orders against P. Chidambaram in two cases,0
TMC MP Abhishek meets family of Bengal migrant worker killed in Pune,0
Railways lets you swap names on reserved tickets,0
"Is all well in UP BJP? Deputy CMs give Ayodhya Deepotsav event a miss, spark buzz of party rift, discord with bureaucracy",0
"Hours from now, Delhi’s hottest contest – between two BJP leaders – to conclude",0
Hemant Soren may return as Jharkhand CM: ‘Want to send clear message of leadership’,0
"Decorated South Goa SP removed in late-night order, Congress draws a Bajrang Dal link",0
PM Modi lauds Bhutanese leadership for welcome accorded to Buddha's relics from India,0
"In spotlight, Governor Thaawar Chand Gehlot’s  journey: BJP old hand, Dalit face in party, govt",0
Judge’s anti-Muslim remarks: Oppn MPs start signing on notice for impeachment,0
TMC pulls out Yusuf Pathan from global outreach: ‘How can govt decide our face’,0
1996 drug seizure case: Supreme Court rejects Sanjiv Bhatt's plea seeking suspension of sentence,0
"India has overtaken China in rice production, says Agriculture Minister Shivraj Singh Chouhan",0
Need for community of active social media users who present fact-based narratives in national interest: President,0
"How BJP crafted Delhi landslide with a coalition of upper caste, OBC groups",0
Parliament Winter session Day 13 updates: Lok Sabha passes nuclear energy Bill allowing privatisation; discusses VB-G RAM G Bill,0
‘Saviour of Punjab waters’: AAP gives Bhagwant Mann an image makeover amid row with Haryana,0
"Ravi Shankar Prasad: ‘Why is Congress, Opposition shying away from a debate?’",0
Nashik to Mumbai long march likely to be withdrawn on January 28 after assurance from CM Fadnavis,0
U.K. interested in e-Courts project; team to visit India next week,0
Delhi High Court seeks Sengar’s stand on rape survivor’s plea for death penalty,0
"Waqf Bill debate: Government says claim laid to Parliament complex, Delhi Waqf Board says no knowledge",0
"At first Cabinet meeting, Haryana BJP govt moves on SC quota sub-categorisation",0
JD(U) in or out of NDA in Manipur? Confusion prevails,0
Rahul Gandhi’s ‘firebrand leader’ feels the heat of Congress rejection: ‘Only a king’s son is king’,0
I-PAC punching below belt in TMC? MLA Madan Mitra lands a blow with ‘corruption’ comment,0
"From standing with Azam Khan family to taking on Yogi remarks, SP courts Muslim vote again",0
"Navy’s top maritime forum, the Indo-Pacific Regional Dialogue 2025, opens today",0
Asking why Pahalgam women survivors didn’t fight back demeans all women,0
Adhir Chowdhury: ‘Almost all of Bengal Congress opposed alliance with TMC … but only I am being blamed’,0
Still the party of choice for Bengal’s Muslims — so why is Trinamool Congress uneasy?,0
"Delhi riots case hearing updates: Gandhian philosophy advocates peaceful defiance of unjust laws, accused tells SC",0
"In Kavitha’s crosshairs, key BRS faces, KCR nephews: Who are Harish Rao, Santosh Kumar",0
All Yadav hands on deck: Shivpal’s son SP first family’s new poll debutant as party ups UP game,0
Trade unions plan February general strike against Labour Codes,0
Japan will connect Northeast India to the Bay of Bengal: Dy Foreign Minister Horii Iwao,0
"As BSP fails to win a single Lok Sabha seat, why Mayawati is upset with Muslims",0
"As Dhanbad votes today in high-voltage clash, why many have decided to boycott the elections",0
Delhi riots case hearing updates: Supreme Court adjourns bail hearing of accused to December 9,0
"Rajnath Singh interview: ‘Turnout not low…if dip, it’s because Opposition hasn’t enthused their voters’",0
Shubhanshu Shukla awarded Ashoka Chakra,0
Will be a pity if the efforts to polarise succeed: Congress leader Chidambaram,0
How Arvinder Singh Lovely’s resignation may hurt Congress in Delhi,0
"Adhir Ranjan Chowdhury: ‘Modi ji rattled… No Pulwama or Balakot, Ram Mandir having no effect… it is not a cakewalk this time’",0
Today in Politics: Ex-Karnataka CM B S Yediyurappa to appear before CID in POCSO case,0
"PM Modi begins J&K campaign next week, Art 370 abrogation to be key plank",0
"Decode Politics: What are the Republic Day tableaux this year, how are they chosen?",0
T.N. Assembly poll: Congress identifies 70seats to field candidates,0
BJP goes with OBC face Jagdish Vishwakarma as its Gujarat chief,0
"Delhi riots case hearing updates: Intellectual terrorists more dangerous than ground level ones, ASG argues for Delhi Police",0
Military Nursing Service personnel brought under ex-servicemen re-employment rules,0
"Newsmaker | As an old rival returns, Gujarat ‘giant-killer’ Paresh Dhanani answers Congress call",0
"‘We arrested trend of Dalits moving away, brought some back… Even Jats did not stand by Congress’: BJP Haryana in-charge",0
"Barmer’s 26-year-old Independent face Ravindra Bhati: ‘When needed (by BJP), I was deshbhakt, now that I am contesting I am deshdrohi’",0
NEET has commercialised education: Congress MP,0
"‘Dravida lands’ omitted from Tamil anthem at event attended by Governor, CM Stalin demands Centre recall him",0
Meet the latest MNS leaders enforcing Marathi one slap at a time,0
"Killing of Hindu youth in Bangladesh is ‘horrendous’, says MEA",0
Are e-KYC norms excluding MGNREGA workers? | Explained,0
Decode Politics: Why heat over Hubballi riot case withdrawal is more smoke than fire,0
"Sound and fury by BJP but Owaisi final word in Hyderabad citadel, wins with bigger margin",0
"Upping the ante over SIR, how Mamata is laying TMC groundwork for 2026 Bengal polls",0
Meet new Goa Governor Ashok Gajapati Raju: Key  TDP face who stood by Naidu through thick and thin,0
