headline,label,confidence
"How JD(S) is quietly remaking its leadership team: As a veteran MLA is removed from core committee, ‘first family’ scions get key posts",sarcastic,0.65
"Waqf Bill: More than 12 hours of debate, and a washroom break that got Congress all wet",sarcastic,0.85
"India-U.S. interim trade deal: ‘Namaste Trump scored over Howdy Modi’, says Congress",sarcastic,0.75
"‘Richest’ CM Chandrababu Naidu’s draws almost entirely on one asset, Mamata records sharpest decline",sarcastic,0.45
Sunil Jakhar ‘resignation’: How ex-Congress leader struggled to find feet in BJP,sarcastic,0.45
Academia margins to NCERT row spotlight: French-born scholar’s tryst with India’s past,sarcastic,0.55
"Is all well in UP BJP? Deputy CMs give Ayodhya Deepotsav event a miss, spark buzz of party rift, discord with bureaucracy",sarcastic,0.55
"Hours from now, Delhi’s hottest contest – between two BJP leaders – to conclude",sarcastic,0.65
"Decorated South Goa SP removed in late-night order, Congress draws a Bajrang Dal link",sarcastic,0.5
‘Saviour of Punjab waters’: AAP gives Bhagwant Mann an image makeover amid row with Haryana,sarcastic,0.65
"Waqf Bill debate: Government says claim laid to Parliament complex, Delhi Waqf Board says no knowledge",sarcastic,0.5
Rahul Gandhi’s ‘firebrand leader’ feels the heat of Congress rejection: ‘Only a king’s son is king’,sarcastic,0.75
I-PAC punching below belt in TMC? MLA Madan Mitra lands a blow with ‘corruption’ comment,sarcastic,0.5
Still the party of choice for Bengal’s Muslims — so why is Trinamool Congress uneasy?,sarcastic,0.45
"Delhi riots case hearing updates: Gandhian philosophy advocates peaceful defiance of unjust laws, accused tells SC",sarcastic,0.45
All Yadav hands on deck: Shivpal’s son SP first family’s new poll debutant as party ups UP game,sarcastic,0.55
"As BSP fails to win a single Lok Sabha seat, why Mayawati is upset with Muslims",sarcastic,0.5
"As Dhanbad votes today in high-voltage clash, why many have decided to boycott the elections",sarcastic,0.45
"Rajnath Singh interview: ‘Turnout not low…if dip, it’s because Opposition hasn’t enthused their voters’",sarcastic,0.45
"Barmer’s 26-year-old Independent face Ravindra Bhati: ‘When needed (by BJP), I was deshbhakt, now that I am contesting I am deshdrohi’",sarcastic,0.8
Meet the latest MNS leaders enforcing Marathi one slap at a time,sarcastic,0.85
Decode Politics: Why heat over Hubballi riot case withdrawal is more smoke than fire,sarcastic,0.45
"Sound and fury by BJP but Owaisi final word in Hyderabad citadel, wins with bigger margin",sarcastic,0.6
"Days after Lok Sabha cheer, Mumbai Congress returns to fighting ways",sarcastic,0.6
"Bhupinder Singh Hooda interview: ‘In loktantra (democracy), log haar gaye, tantra jeet gaya’",sarcastic,0.85
"Highlights of the 17th Lok Sabha: Landmark Bills, record-high suspensions, a no-confidence motion",sarcastic,0.5
"Not India Shining or even INDIA shining moment, but BJP will feel the glare",sarcastic,0.75
"BJP expels Karnataka rebel Yatnal for ‘indiscipline’, gives a leg-up to Vijayendra",sarcastic,0.45
"Congress warns Election Commissioners, threatens strict action over ‘vote theft’",sarcastic,0.45
Robert Vadra ‘passed the buck’ to three dead ‘associates’ for Gurgaon deal: Who are they?,sarcastic,0.65
"Loyal alliance, restless partner: Congress MP’s power-sharing demand tests DMK tie-up",sarcastic,0.45
"Govt cancels lateral entry hiring, as Oppn ‘social justice’ attack hits a nerve",sarcastic,0.5
Bihar Deputy CM Samrat Choudhary responds to PK’s attacks: ‘My lawyer filed affidavit that said I was a minor … but court did not accept it’,sarcastic,0.65
"As Parliament passes VB-G RAM G Bill, replaces MGNREGA, is it the end of a Congress legacy or start of a new campaign?",sarcastic,0.65
Sonam Wangchuk: ‘This govt no longer has attitude of its last term… We trust it but are ready for most extreme steps’,sarcastic,0.5
‘Weed called Anbumani removed’: Ramadoss expels son from PMK,sarcastic,0.85
"To counter Rahul Gandhi’s China, US jab, Modi brings up a book on JFK. What does it say?",sarcastic,0.45
A house for Smriti Irani in Amethi: Why the House doesn’t ask for it,sarcastic,0.6
"With Court bringing ‘closure’ on Section 6A, focus in Assam shifts to NRC, and that CAA question",sarcastic,0.45
UP anti-conversion law: Oppn’s ‘No answer… has love jihad stopped?’ vs Govt’s ‘justice anyway long drawn’,sarcastic,0.5
Assam CM Sarma says Gaurav Gogoi asked questions ‘to help Pak Army’. Now see the data,sarcastic,0.65
Why Asaduddin Owaisi is backing Congress in key Telangana bypoll: ‘Where is the BRS vote?’,sarcastic,0.45
"From the Urdu Press: ‘Bypoll booster for INDIA mirrors LS trends’, ‘Why Samvidhan Hatya Diwas now, in third term?’",sarcastic,0.5
How Congress dealt Opposition unity a body blow in Assam: ‘Historic betrayal’,sarcastic,0.5
"Akhilesh repeats his ‘18,000 affidavits’, ‘voter deletion’ claims, but picture not as simple in the 4 seats he named",sarcastic,0.4
"From the Urdu Press: ‘Amid BJP jumla, Nitish may meet Shinde fate’, ‘Tejashwi must walk the talk over Muslim share in power’",sarcastic,0.65
Mithilanchal’s irony: Anger on the ground but affection at the booth for NDA,sarcastic,0.65
"From the Urdu Press: ‘BJP behind throne, Nitish’s 10th innings to be bumpy’, ‘Cong must resolve Siddaramaiah, Shivakumar tussle’",sarcastic,0.4
"Congress in crisis in Wayanad, but Priyanka Gandhi steers clear of ‘local politics’ during ongoing visit: ‘Workers not happy’",sarcastic,0.6
"Sangh Parivar’s stormy petrel Pragya Thakur: Godse praise, Hemant Karkare remark to Bhopal giant-killer",sarcastic,0.5
"Wingtips of Air India, IndiGo planes ‘make contact’ at Mumbai airport",sarcastic,0.55
"Operation Sindoor highlighted India’s decisive air power, says Rajnath Singh",sarcastic,0.65
Operation Sindoor: Congress top brass to discuss security situation,sarcastic,0.85
"Fewer seats but AAP wins Phagwara mayor polls, Congress cries foul",sarcastic,0.45
‘Utilise Parliament time better’: Sharad Pawar’s NCP joins allies who want Congress to move on from Adani issue,sarcastic,0.4
People raised in State-run orphanages and charity homes struggle with SIR rules on parent mapping,sarcastic,0.45
"As Patnaik vows ‘no more support to BJP’, a brief history of BJD backing for Modi govt in 10 years",sarcastic,0.75
"Today in Politics: Parliament set for heated debate on Pahalgam attack, Operation Sindoor",sarcastic,0.65
Cabinet resolution hails shifting of PMO to Seva Teerth as 'confluence of history and future',sarcastic,0.65
"Polls roll in, sweep aside cloud of recent militant attacks in Jammu areas",sarcastic,0.5
"Atishi in chair, it’s back to business for AAP,  BJP: Kejriwal the issue, graft the plank",sarcastic,0.45
"At first NDA meeting under him as CM, Nitish Kumar accepted as face of coalition; stress on ‘communal harmony’",sarcastic,0.45
‘Only God can save Congress’: Senior MP leader questions party’s mumbo ‘jumbo’ changes,sarcastic,0.75
