headline,label,confidence
Unnao rape case: Appeal reaches Supreme Court against suspension of Sengar’s sentence,non-sarcastic,1.0
Railways announces fare hike from Dec. 26: What you need to know,non-sarcastic,1.0
Human-trafficking case: NIA charge sheet against three accused in Myanmar,non-sarcastic,1.0
Coal block allocation case petitioner lawyer M.L. Sharma passes away,non-sarcastic,1.0
"How JD(S) is quietly remaking its leadership team: As a veteran MLA is removed from core committee, ‘first family’ scions get key posts",sarcastic,0.65
"BJP picks Ujjwal Nikam for Mumbai North Central, drops two-term MP Poonam Mahajan",non-sarcastic,1.0
‘Why should I counter BJP on tukde-tukde? Lies need not be countered’: Kanhaiya Kumar,non-sarcastic,0.9
"Bihar govt formation: JD(U)-BJP equal share in ministries proposed, Chirag may be offered 2 berths",non-sarcastic,1.0
"In booster for BJP ahead of J&K polls, key Gujjar face quits Apni Party to join its fold",non-sarcastic,0.1
"Waqf Bill: More than 12 hours of debate, and a washroom break that got Congress all wet",sarcastic,0.85
Mekedatu dam project: a long-standing source of friction between Tamil Nadu and Karnataka,non-sarcastic,1.0
"India-U.S. interim trade deal: ‘Namaste Trump scored over Howdy Modi’, says Congress",sarcastic,0.75
"As PM Modi lands in Manipur today, what Kukis, Meteis have demanded",non-sarcastic,0.95
"‘Richest’ CM Chandrababu Naidu’s draws almost entirely on one asset, Mamata records sharpest decline",sarcastic,0.45
"Cong, RJD tension flares over Bihar rout as ex-CLP leader pitches for breaking ties",non-sarcastic,0.95
"Slave compounds in Myanmar, adjoining regions are hubs for execution of digital arrest frauds: CBI",non-sarcastic,1.0
"Chaos, confusion and cancellations",non-sarcastic,0.95
"Temple money belongs to deity, cannot be used to save cooperative banks: Supreme Court",non-sarcastic,1.0
Fall in voter numbers in UP’s high Muslim-density areas same as in rest of state,non-sarcastic,0.95
Sunil Jakhar ‘resignation’: How ex-Congress leader struggled to find feet in BJP,sarcastic,0.45
"Process on to impeach Justice Varma, govt awaiting probe panel report: Kiren Rijiju",non-sarcastic,1.0
Congress targets BJP over MP Ram Chander Jangra’s comments on Pahalgam victims: ‘Sack foul-mouthed leaders’,non-sarcastic,1.0
Rajya Sabha takes up resolution to extend water pollution law to Manipur,non-sarcastic,0.95
Academia margins to NCERT row spotlight: French-born scholar’s tryst with India’s past,sarcastic,0.55
ED places before court prosecution sanction orders against P. Chidambaram in two cases,non-sarcastic,1.0
TMC MP Abhishek meets family of Bengal migrant worker killed in Pune,non-sarcastic,1.0
Railways lets you swap names on reserved tickets,non-sarcastic,1.0
"Is all well in UP BJP? Deputy CMs give Ayodhya Deepotsav event a miss, spark buzz of party rift, discord with bureaucracy",sarcastic,0.55
"Hours from now, Delhi’s hottest contest – between two BJP leaders – to conclude",sarcastic,0.65
